"Species";"Iteration";"Method";"RMSE";"RSE"
"MEPO";21;"Linear_Regression";23,6274615945795;6,8719928168418
"MEPO";22;"Linear_Regression";21,5275136160327;9,07970144773696
"MEPO";23;"Linear_Regression";20,8792043786429;3,49524906962674
"MEPO";24;"Linear_Regression";21,0838313848113;4,12533726968935
"MEPO";25;"Linear_Regression";23,5672960227835;2,96208755950469
"MEPO";26;"Linear_Regression";24,6150448803433;4,15462527798337
"MEPO";27;"Linear_Regression";21,8828699177881;3,24747261585487
"MEPO";28;"Linear_Regression";23,2519004572952;8,23978011669872
"MEPO";29;"Linear_Regression";23,1035024961082;3,40563089266378
"MEPO";30;"Linear_Regression";20,8933983900834;15,0161233505402
"MEPO";31;"Linear_Regression";21,9595492310902;2,98440539758237
"MEPO";32;"Linear_Regression";22,3647627497173;1,61979097312586
"MEPO";33;"Linear_Regression";18,2715457112925;7,53866086578985
"MEPO";34;"Linear_Regression";18,1598866036882;11,5605449581997
"MEPO";35;"Linear_Regression";22,6340364030618;3,14947975298526
"MEPO";36;"Linear_Regression";24,7352845077185;4,12626524821579
"MEPO";37;"Linear_Regression";22,7769662630536;7,83553579180129
"MEPO";38;"Linear_Regression";23,3905279116491;4,17618639035793
"MEPO";39;"Linear_Regression";23,2891570621012;2,1819922559691
"MEPO";40;"Linear_Regression";20,2205929543601;7,56350380323978
"MEPO";41;"Linear_Regression";19,6339769012324;8,14758172115739
"MEPO";42;"Linear_Regression";21,6339504052816;17,6354960289224
"MEPO";43;"Linear_Regression";19,3858889854338;1,87775348914253
"MEPO";44;"Linear_Regression";20,1971800892264;6,17341321386611
"MEPO";45;"Linear_Regression";26,6279625531403;12,168025408705
"MEPO";46;"Linear_Regression";24,828180375783;7,61754164816933
"MEPO";47;"Linear_Regression";24,9224306391985;2,86001565376912
"MEPO";48;"Linear_Regression";21,6172269320469;2,25104381580238
"MEPO";49;"Linear_Regression";22,9887850589804;4,58189969937481
"MEPO";50;"Linear_Regression";22,0460334252515;7,79771282704462
"MEPO";51;"Linear_Regression";23,7329009405799;71,835941844065
"MEPO";52;"Linear_Regression";22,7696938433818;2,91033110035133
"MEPO";53;"Linear_Regression";28,2784122747215;7,49024200418843
"MEPO";54;"Linear_Regression";26,478421931644;4,01429988937071
"MEPO";55;"Linear_Regression";19,4563865565354;4,51811354673267
"MEPO";56;"Linear_Regression";25,1355371513244;11,263907325228
"MEPO";57;"Linear_Regression";27,954922583185;5,33024803659891
"MEPO";58;"Linear_Regression";28,7992401900205;1,64516417097242
"MEPO";59;"Linear_Regression";18,4692556562725;2,66913054177962
"MEPO";60;"Linear_Regression";21,2674307589697;8,81389768778068
"MEPO";61;"Linear_Regression";22,6265252842405;5,09201150517094
"MEPO";62;"Linear_Regression";25,7970963986889;5,16442984050471
"MEPO";63;"Linear_Regression";24,5761383176868;32,8332880616734
"MEPO";64;"Linear_Regression";29,9990336294529;24,5916843645849
"MEPO";65;"Linear_Regression";21,6303576286536;1,83694990980216
"MEPO";66;"Linear_Regression";21,8508614993016;2,60817959619734
"MEPO";67;"Linear_Regression";27,6685870080522;3,22482889812455
"MEPO";68;"Linear_Regression";23,2696577367568;3,40641652209111
"MEPO";69;"Linear_Regression";24,295152198539;5,91596439328044
"MEPO";70;"Linear_Regression";21,7946031815009;4,51586354421897
"MEPO";71;"Linear_Regression";26,9467287854596;29,0170002710242
"MEPO";72;"Linear_Regression";19,8066006735534;2,41242148873141
"MEPO";73;"Linear_Regression";21,0402056801227;5,3925249555233
"MEPO";74;"Linear_Regression";25,2491211843226;3,16092248935829
"MEPO";75;"Linear_Regression";22,532359408868;9,25647888948318
"MEPO";76;"Linear_Regression";17,6931572190056;4,82011278848991
"MEPO";77;"Linear_Regression";23,9648267858362;1,55250997374464
"MEPO";78;"Linear_Regression";19,7779828640944;2,40734974643812
"MEPO";79;"Linear_Regression";23,6520770875446;4,68170530476906
"MEPO";80;"Linear_Regression";19,0697797636025;2,69284681965527
"MEPO";81;"Linear_Regression";20,5263949773697;3,01579982703557
"MEPO";82;"Linear_Regression";23,9602309290164;13,0677719623442
"MEPO";83;"Linear_Regression";21,2351217470842;21,7660126389091
"MEPO";84;"Linear_Regression";26,0702872408296;6,75615226642944
"MEPO";85;"Linear_Regression";19,3248425136381;3,09335613835874
"MEPO";86;"Linear_Regression";22,3779706632879;46,273502770678
"MEPO";87;"Linear_Regression";19,2719852691332;7,60081810507625
"MEPO";88;"Linear_Regression";24,4988005286148;2,61153283875816
"MEPO";89;"Linear_Regression";20,7601863423637;2,54137299327048
"MEPO";90;"Linear_Regression";20,858860577329;17,7345874806143
"MEPO";91;"Linear_Regression";20,9239097154177;5,37256807862047
"MEPO";92;"Linear_Regression";23,9801765424944;5,14611019131118
"MEPO";93;"Linear_Regression";20,3892174783908;3,50177711721678
"MEPO";94;"Linear_Regression";20,336388704651;3,79948638840478
"MEPO";95;"Linear_Regression";22,6913339959534;8,75955065300457
"MEPO";96;"Linear_Regression";22,0135231606362;5,0790818776215
"MEPO";97;"Linear_Regression";24,5249102622151;35,8089438017783
"MEPO";98;"Linear_Regression";31,7598633735637;1,34578261562108
"MEPO";99;"Linear_Regression";23,9534073631818;1,32290570680278
"FRPU";0;"Linear_Regression";27,0179613824769;2,75809949763111
"FRPU";1;"Linear_Regression";27,1707551568197;1,3070637022369
"FRPU";2;"Linear_Regression";19,9205817067707;5,64267142139867
"FRPU";3;"Linear_Regression";27,5973146633556;5,28317646761415
"FRPU";4;"Linear_Regression";20,3511466519807;7,35190957869722
"FRPU";5;"Linear_Regression";21,5052563953029;3,58868156767462
"FRPU";6;"Linear_Regression";26,7985750492091;21,8878294682905
"FRPU";7;"Linear_Regression";25,8138546508772;3,90317100172007
"FRPU";8;"Linear_Regression";21,4367930482576;4,13527501711919
"FRPU";9;"Linear_Regression";23,9319825807326;8,1363234366995
"FRPU";10;"Linear_Regression";22,2624559533949;2,22190584606476
"FRPU";11;"Linear_Regression";23,5363846727549;11,2369894115989
"FRPU";12;"Linear_Regression";24,3111838139588;11,2786734850042
"FRPU";13;"Linear_Regression";24,0507393670132;6,15515231124256
"FRPU";14;"Linear_Regression";20,7734500495662;3,82421501948615
"FRPU";15;"Linear_Regression";23,3394719265116;5,7362580035769
"FRPU";16;"Linear_Regression";29,3967800962599;12,9228250119702
"FRPU";17;"Linear_Regression";19,693400859775;2,05917337131474
"FRPU";18;"Linear_Regression";23,1252611336594;4,14096793495579
"FRPU";19;"Linear_Regression";27,4277994219845;1,45535786176605
"FRPU";20;"Linear_Regression";24,3176045434207;4,85795444567232
"FRPU";21;"Linear_Regression";25,6225311070044;10,6284724481899
"FRPU";22;"Linear_Regression";24,9961375809491;3,27533452487026
"FRPU";23;"Linear_Regression";20,6044091412591;4,03371952698597
"FRPU";24;"Linear_Regression";25,0568451224665;1,90757090514916
"FRPU";25;"Linear_Regression";25,3720607554659;2,11113806077838
"FRPU";26;"Linear_Regression";24,8028917934111;1,93266550817494
"FRPU";27;"Linear_Regression";22,9779162360674;4,01513917468851
"FRPU";28;"Linear_Regression";25,6421016363729;2,43595799692964
"FRPU";29;"Linear_Regression";24,0524108116055;5,6255256943634
"FRPU";30;"Linear_Regression";24,4062987539982;3,07882940192419
"FRPU";31;"Linear_Regression";24,2480122911511;3,38860079968239
"FRPU";32;"Linear_Regression";22,0501864490253;1,97539277924267
"FRPU";33;"Linear_Regression";25,8915707967908;2,51084937304797
"FRPU";34;"Linear_Regression";19,8149683700293;2,79764350597833
"FRPU";35;"Linear_Regression";24,3474781973866;3,2463846674467
"FRPU";36;"Linear_Regression";19,2686775603419;7,07896113069089
"FRPU";37;"Linear_Regression";19,3695365112852;10,2464604986568
"FRPU";38;"Linear_Regression";22,3532703491215;53,8193914740751
"FRPU";39;"Linear_Regression";29,9466687046348;1,15566632763966
"FRPU";40;"Linear_Regression";21,8607774256332;2,88570124250926
